p,state,probability,mean
1,1,0.17102363759339978,17.509511278301737
1,2,0.04911128332976593,17.509511278301737
1,3,0.04911128332976592,17.509511278301737
1,4,0.02081764254102333,17.509511278301737
1,5,0.04911128332976592,17.509511278301737
1,6,0.02081764254102332,17.509511278301737
1,7,0.15561902752469248,17.509511278301737
1,8,0.058582053442180336,17.509511278301737
1,9,0.04911128332976597,17.509511278301737
1,10,0.1556190275246924,17.509511278301737
1,11,0.02081764254102332,17.509511278301737
1,12,0.05858205344218031,17.509511278301737
1,13,0.02081764254102332,17.509511278301737
1,14,0.05858205344218031,17.509511278301737
1,15,0.05858205344218027,17.509511278301737
1,16,0.003694390105337826,17.509511278301737
2,1,0.06101641088005113,15.513865373274303
2,2,0.00017145371859650312,15.513865373274303
2,3,0.00017145371859650198,15.513865373274303
2,4,0.1239989458857436,15.513865373274303
2,5,0.0001714537185965028,15.513865373274303
2,6,0.12399894588574356,15.513865373274303
2,7,0.18231502755599752,15.513865373274303
2,8,0.004265779759806143,15.513865373274303
2,9,0.0001714537185965039,15.513865373274303
2,10,0.18231502755599752,15.513865373274303
2,11,0.12399894588574356,15.513865373274303
2,12,0.004265779759806147,15.513865373274303
2,13,0.12399894588574356,15.513865373274303
2,14,0.004265779759806143,15.513865373274303
2,15,0.004265779759806156,15.513865373274303
2,16,0.06060881655136875,15.513865373274303
3,1,0.004146528108720652,3.204572742949255
3,2,0.007421101690766163,3.204572742949255
3,3,0.007421101690766173,3.204572742949255
3,4,0.005785365056387196,3.204572742949255
3,5,0.007421101690766166,3.204572742949255
3,6,0.005785365056387198,3.204572742949255
3,7,0.4497717929691013,3.204572742949255
3,8,0.005054914137799396,3.204572742949255
3,9,0.007421101690766185,3.204572742949255
3,10,0.4497717929691013,3.204572742949255
3,11,0.005785365056387198,3.204572742949255
3,12,0.005054914137799431,3.204572742949255
3,13,0.005785365056387183,3.204572742949255
3,14,0.005054914137799422,3.204572742949255
3,15,0.00505491413779943,3.204572742949255
3,16,0.02326436241326703,3.204572742949255
4,1,0.007338111337580789,1.4011931313156984
4,2,0.004673395906439861,1.4011931313156984
4,3,0.004673395906439859,1.4011931313156984
4,4,0.00019659773929212254,1.4011931313156984
4,5,0.004673395906439848,1.4011931313156984
4,6,0.0001965977392921268,1.4011931313156984
4,7,0.48321892808733763,1.4011931313156984
4,8,0.001535494235294126,1.4011931313156984
4,9,0.004673395906439872,1.4011931313156984
4,10,0.48321892808733763,1.4011931313156984
4,11,0.00019659773929212352,1.4011931313156984
4,12,0.0015354942352941254,1.4011931313156984
4,13,0.00019659773929212187,1.4011931313156984
4,14,0.0015354942352941135,1.4011931313156984
4,15,0.0015354942352941135,1.4011931313156984
4,16,0.0006020809636402869,1.4011931313156984
5,1,0.007338111337580789,1.4011931313156984
5,2,0.004673395906439861,1.4011931313156984
5,3,0.004673395906439859,1.4011931313156984
5,4,0.00019659773929212254,1.4011931313156984
5,5,0.004673395906439848,1.4011931313156984
5,6,0.0001965977392921268,1.4011931313156984
5,7,0.48321892808733763,1.4011931313156984
5,8,0.001535494235294126,1.4011931313156984
5,9,0.004673395906439872,1.4011931313156984
5,10,0.48321892808733763,1.4011931313156984
5,11,0.00019659773929212352,1.4011931313156984
5,12,0.0015354942352941254,1.4011931313156984
5,13,0.00019659773929212187,1.4011931313156984
5,14,0.0015354942352941135,1.4011931313156984
5,15,0.0015354942352941135,1.4011931313156984
5,16,0.0006020809636402869,1.4011931313156984
6,1,3.142166263792869e-05,0.7402842316872881
6,2,0.0008159187720332581,0.7402842316872881
6,3,0.0008159187720332597,0.7402842316872881
6,4,0.000476716836019142,0.7402842316872881
6,5,0.0008159187720332549,0.7402842316872881
6,6,0.00047671683601913854,0.7402842316872881
6,7,0.49619654516211775,0.7402842316872881
6,8,0.00038983128555214295,0.7402842316872881
6,9,0.0008159187720332474,0.7402842316872881
6,10,0.4961965451621181,0.7402842316872881
6,11,0.0004767168360191319,0.7402842316872881
6,12,0.0003898312855521487,0.7402842316872881
6,13,0.0004767168360191314,0.7402842316872881
6,14,0.00038983128555214827,0.7402842316872881
6,15,0.0003898312855521505,0.7402842316872881
6,16,0.0008456204387090272,0.7402842316872881
7,1,3.142166263792869e-05,0.7402842316872881
7,2,0.0008159187720332581,0.7402842316872881
7,3,0.0008159187720332597,0.7402842316872881
7,4,0.000476716836019142,0.7402842316872881
7,5,0.0008159187720332549,0.7402842316872881
7,6,0.00047671683601913854,0.7402842316872881
7,7,0.49619654516211775,0.7402842316872881
7,8,0.00038983128555214295,0.7402842316872881
7,9,0.0008159187720332474,0.7402842316872881
7,10,0.4961965451621181,0.7402842316872881
7,11,0.0004767168360191319,0.7402842316872881
7,12,0.0003898312855521487,0.7402842316872881
7,13,0.0004767168360191314,0.7402842316872881
7,14,0.00038983128555214827,0.7402842316872881
7,15,0.0003898312855521505,0.7402842316872881
7,16,0.0008456204387090272,0.7402842316872881
8,1,3.142166263792869e-05,0.7402842316872881
8,2,0.0008159187720332581,0.7402842316872881
8,3,0.0008159187720332597,0.7402842316872881
8,4,0.000476716836019142,0.7402842316872881
8,5,0.0008159187720332549,0.7402842316872881
8,6,0.00047671683601913854,0.7402842316872881
8,7,0.49619654516211775,0.7402842316872881
8,8,0.00038983128555214295,0.7402842316872881
8,9,0.0008159187720332474,0.7402842316872881
8,10,0.4961965451621181,0.7402842316872881
8,11,0.0004767168360191319,0.7402842316872881
8,12,0.0003898312855521487,0.7402842316872881
8,13,0.0004767168360191314,0.7402842316872881
8,14,0.00038983128555214827,0.7402842316872881
8,15,0.0003898312855521505,0.7402842316872881
8,16,0.0008456204387090272,0.7402842316872881
9,1,3.142166263792869e-05,0.7402842316872881
9,2,0.0008159187720332581,0.7402842316872881
9,3,0.0008159187720332597,0.7402842316872881
9,4,0.000476716836019142,0.7402842316872881
9,5,0.0008159187720332549,0.7402842316872881
9,6,0.00047671683601913854,0.7402842316872881
9,7,0.49619654516211775,0.7402842316872881
9,8,0.00038983128555214295,0.7402842316872881
9,9,0.0008159187720332474,0.7402842316872881
9,10,0.4961965451621181,0.7402842316872881
9,11,0.0004767168360191319,0.7402842316872881
9,12,0.0003898312855521487,0.7402842316872881
9,13,0.0004767168360191314,0.7402842316872881
9,14,0.00038983128555214827,0.7402842316872881
9,15,0.0003898312855521505,0.7402842316872881
9,16,0.0008456204387090272,0.7402842316872881
10,1,0.0016146252772751286,0.73075811767359
10,2,0.000306458864745926,0.73075811767359
10,3,0.0003064588647459352,0.73075811767359
10,4,5.713322288790197e-05,0.73075811767359
10,5,0.0003064588647459382,0.73075811767359
10,6,5.713322288790093e-05,0.73075811767359
10,7,0.4973214384231686,0.73075811767359
10,8,0.0005090647515576273,0.73075811767359
10,9,0.000306458864745933,0.73075811767359
10,10,0.497321438423168,0.73075811767359
10,11,5.713322288790334e-05,0.73075811767359
10,12,0.0005090647515576274,0.73075811767359
10,13,5.7133222887902786e-05,0.73075811767359
10,14,0.0005090647515576247,0.73075811767359
10,15,0.0005090647515576259,0.73075811767359
10,16,0.00025187051962208013,0.73075811767359
