instance,p,distance,mean
1,1,0.1657354485708586,9.561694246430239
1,2,0.15285946683923907,9.356002367183589
1,3,0.008747025253361147,3.634983546420887
1,4,0.0,3.8640214951555167
2,1,0.2586439731648233,11.253089198732109
2,2,0.006060962668940961,0.4088796699513109
2,3,0.01064473133154309,0.6689412722388363
2,4,0.0,0.15119438207664446
3,1,0.10977385989418675,10.199296107145821
3,2,0.03800415119317463,7.963413607406787
3,3,0.13919551647241157,11.381871554088564
3,4,0.0,5.70466649381312
4,1,0.3144384548873518,20.156714278550144
4,2,0.04283009813428884,5.292203495901843
4,3,0.05119574933125043,4.272375405867743
4,4,0.0,6.291267881207162
5,1,0.2426567711023236,17.30328451824998
5,2,0.04296983184004788,7.958357844084944
5,3,0.10010309200160965,11.486617234119272
5,4,0.0,5.602453619980955
6,1,0.20980995876881925,17.41742322243039
6,2,0.1984588904154612,14.810336467565
6,3,0.06165395346260699,8.802397805675898
6,4,0.0,7.212001979892262
7,1,0.3280081662644915,19.12803848041539
7,2,0.06552956378567243,8.536444304168173
7,3,0.0537437394071897,3.5741813026091194
7,4,0.0,5.997966216971108
8,1,0.14762750372952405,11.602846455879968
8,2,0.1882754786400602,12.23316052053748
8,3,0.03564764917139518,7.060247316332903
8,4,0.0,6.502723019880136
9,1,0.18976667080897192,16.684126967697665
9,2,0.09204493002151215,4.74516897886572
9,3,0.04672548320649302,7.940946254147006
9,4,0.0,8.093989777591192
10,1,0.282384552578949,15.198475855203403
10,2,0.11176760457293589,7.956483187688846
10,3,0.04263230537668988,2.9345801297967995
10,4,0.0,2.931038264122539
